,Account,avg(Kwh),avg(Power_Factor),avg(KVRAh),Catergroy,Building,Day,Month,Year,TemperatureF,PointF,Humidity,PressureIn,VisibilityMiles,WindSpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees,workingDay,Holiday
115,27369330017,121.8882067,0.763219394,52.75086111,SCH,LILLA FREDRICK,25,4,2014,50,29,45,29.92,10,11,0,5,,201,1,0
116,27369330017,107.8413637,0.773371256,47.80924935,SCH,LILLA FREDRICK,26,4,2014,45,38,75,29.83,8,7,0.2,7,Rain,79,0,0
117,27369330017,106.3411444,0.778588564,41.66634873,SCH,LILLA FREDRICK,27,4,2014,46,39,77,29.94,10,6,0.15,8,Rain,76,0,0
118,27369330017,148.959687,0.790399012,71.58454079,SCH,LILLA FREDRICK,28,4,2014,48,37,63,30.08,10,11,T,5,Rain,29,1,0
119,27369330017,151.9825678,0.794354509,71.45344161,SCH,LILLA FREDRICK,29,4,2014,43,35,76,30.44,10,17,T,8,Rain,63,1,0
120,27369330017,155.043199,0.806298885,70.54905074,SCH,LILLA FREDRICK,30,4,2014,43,37,83,30.45,9,14,0.35,8,Rain,94,1,0
121,27369330017,152.6964317,0.800305607,69.56282895,SCH,LILLA FREDRICK,1,5,2014,52,48,89,29.82,3,6,0.62,7,Fog-Rain,75,1,0
122,27369330017,148.8658266,0.79713471,69.31670376,SCH,LILLA FREDRICK,2,5,2014,60,38,58,29.71,10,10,0.01,5,Rain,288,1,0
123,27369330017,113.345211,0.799087417,48.74516163,SCH,LILLA FREDRICK,3,5,2014,59,39,50,29.8,10,9,0,5,,223,0,0
124,27369330017,107.6646932,0.820157016,40.87509275,SCH,LILLA FREDRICK,4,5,2014,56,37,54,29.6,10,16,T,5,Rain,257,0,0
125,27369330017,144.9650667,0.797552866,67.72171368,SCH,LILLA FREDRICK,5,5,2014,58,38,50,29.75,10,14,0,5,,315,1,0
126,27369330017,143.5151731,0.779258788,68.64826271,SCH,LILLA FREDRICK,6,5,2014,56,32,48,29.9,10,10,0,5,,318,1,0
127,27369330017,147.1703949,0.786424959,69.45521133,SCH,LILLA FREDRICK,7,5,2014,58,31,37,30.14,10,10,0,2,,280,1,0
128,27369330017,146.1493067,0.778989256,70.83029339,SCH,LILLA FREDRICK,8,5,2014,55,38,58,30.16,10,7,0,4,,115,1,0
129,27369330017,144.1519232,0.794899484,66.83798461,SCH,LILLA FREDRICK,9,5,2014,55,49,83,30.19,6,4,T,8,Rain,60,1,0
130,27369330017,110.5885425,0.76655732,51.92250286,SCH,LILLA FREDRICK,10,5,2014,69,59,68,29.85,8,12,0.34,8,Rain-Thunderstorm,222,0,0
131,27369330017,107.5278281,0.758199408,45.78848711,SCH,LILLA FREDRICK,11,5,2014,71,38,46,29.91,10,12,T,3,Rain,276,0,0
132,27369330017,157.476276,0.771588008,77.01224039,SCH,LILLA FREDRICK,12,5,2014,69,43,43,30.04,10,11,0,3,,234,1,0
133,27369330017,143.0258681,0.787467036,68.59704826,SCH,LILLA FREDRICK,13,5,2014,49,40,71,30.3,10,10,0,7,,69,1,0
134,27369330017,145.7634159,0.784915984,71.17894642,SCH,LILLA FREDRICK,14,5,2014,55,46,71,30.31,10,9,T,6,,121,1,0
135,27369330017,175.5152718,0.788540087,83.47919982,SCH,LILLA FREDRICK,15,5,2014,67,58,77,30.26,10,9,T,7,,159,1,0
136,27369330017,185.733784,0.785583005,91.59632456,SCH,LILLA FREDRICK,16,5,2014,66,60,82,30.09,8,14,0.06,8,Rain,164,1,0
137,27369330017,139.4412342,0.78016261,66.78914464,SCH,LILLA FREDRICK,17,5,2014,67,54,64,29.92,7,13,0.65,6,Rain,215,0,0
138,27369330017,128.972283,0.8182719,48.20717993,SCH,LILLA FREDRICK,18,5,2014,58,41,53,30.06,10,9,0,4,,357,0,0
139,27369330017,159.6070104,0.797391315,77.18147563,SCH,LILLA FREDRICK,19,5,2014,60,37,53,30.05,10,13,0.05,5,Rain,318,1,0
140,27369330017,150.6392541,0.779779195,75.50969155,SCH,LILLA FREDRICK,20,5,2014,61,44,55,29.98,10,9,T,4,,286,1,0
141,27369330017,163.6537034,0.790807648,82.03160803,SCH,LILLA FREDRICK,21,5,2014,59,49,74,29.98,10,7,0,3,,97,1,0
142,27369330017,154.1148066,0.798065711,74.62585818,SCH,LILLA FREDRICK,22,5,2014,55,51,90,29.91,5,8,0.25,6,Fog-Rain,92,1,0
143,27369330017,153.6467907,0.791677402,72.09759935,SCH,LILLA FREDRICK,23,5,2014,55,50,89,29.93,8,9,0.02,8,Rain,92,1,0
144,27369330017,113.0088967,0.768420291,51.38247965,SCH,LILLA FREDRICK,24,5,2014,57,48,71,30.01,10,8,0.18,7,Rain,52,0,0
145,27369330017,112.9428638,0.783113894,46.56095893,SCH,LILLA FREDRICK,25,5,2014,59,51,79,30.06,10,7,0,5,,118,0,0
146,27369330017,124.5957316,0.774717537,53.007455,SCH,LILLA FREDRICK,26,5,2014,67,53,63,29.88,10,12,0.01,6,Rain,239,1,1
147,27369330017,161.8322684,0.787090313,82.77659699,SCH,LILLA FREDRICK,27,5,2014,62,51,71,29.9,6,12,0.48,7,Fog-Rain-Thunderstorm,57,1,0
148,27369330017,139.1843474,0.794196152,64.77319037,SCH,LILLA FREDRICK,28,5,2014,47,45,85,30.06,5,15,0.08,7,Rain,43,1,0
149,27369330017,139.2320457,0.782429817,67.21632655,SCH,LILLA FREDRICK,29,5,2014,51,42,67,30.21,10,8,0,3,,68,1,0
150,27369330017,139.9081657,0.776115216,72.53207527,SCH,LILLA FREDRICK,30,5,2014,57,48,73,30.06,10,8,0.11,5,Rain-Thunderstorm,127,1,0
151,27369330017,101.2474275,0.760242853,50.05145291,SCH,LILLA FREDRICK,31,5,2014,56,46,68,30.18,10,10,T,5,,28,0,0
152,27369330017,103.750583,0.773671877,44.81741484,SCH,LILLA FREDRICK,1,6,2014,59,44,61,30.29,10,8,0,2,,98,0,0
153,27369330017,176.7141139,0.816793847,83.98119745,SCH,LILLA FREDRICK,2,6,2014,70,48,44,30.12,10,9,0,3,,205,1,0
154,27369330017,191.6745822,0.84285226,87.85429081,SCH,LILLA FREDRICK,3,6,2014,65,53,72,29.97,10,11,0,2,,130,1,0
155,27369330017,180.7224803,0.842605042,80.19459562,SCH,LILLA FREDRICK,4,6,2014,58,53,80,29.86,10,6,0.14,8,Rain,81,1,0
156,27369330017,178.9868541,0.854263966,80.79324146,SCH,LILLA FREDRICK,5,6,2014,59,57,92,29.71,4,7,0.78,7,Fog-Rain,25,1,0
157,27369330017,173.1851861,0.827038252,81.88454418,SCH,LILLA FREDRICK,6,6,2014,67,53,67,29.77,10,11,0,4,,292,1,0
158,27369330017,138.7646485,0.823462367,58.7911597,SCH,LILLA FREDRICK,7,6,2014,71,55,58,29.9,10,8,0,2,,241,0,0
159,27369330017,133.0820784,0.818866947,53.15440588,SCH,LILLA FREDRICK,8,6,2014,74,55,55,29.91,10,8,0,4,,151,0,0
160,27369330017,196.9679761,0.828495915,93.79217397,SCH,LILLA FREDRICK,9,6,2014,74,55,56,29.95,10,11,T,7,,232,1,0
161,27369330017,215.294971,0.826516421,101.918146,SCH,LILLA FREDRICK,10,6,2014,69,61,80,29.99,8,9,0.85,8,Fog-Rain,117,1,0
162,27369330017,192.0000743,0.824073363,89.09902229,SCH,LILLA FREDRICK,11,6,2014,61,54,79,30.17,10,10,T,5,Rain,66,1,0
163,27369330017,192.4620562,0.83078629,89.15327844,SCH,LILLA FREDRICK,12,6,2014,63,55,79,30.13,10,12,T,8,,97,1,0
164,27369330017,184.7325868,0.834795112,83.45321459,SCH,LILLA FREDRICK,13,6,2014,62,59,89,29.92,3,10,0.54,8,Fog-Rain,73,1,0
165,27369330017,142.6397428,0.831987653,57.73347589,SCH,LILLA FREDRICK,14,6,2014,68,58,79,29.84,6,8,0.01,7,Fog-Rain,356,0,0
166,27369330017,134.3690333,0.829466729,48.34107532,SCH,LILLA FREDRICK,15,6,2014,69,51,56,29.97,10,12,0,4,,312,0,0
167,27369330017,194.8160263,0.825652142,91.80546316,SCH,LILLA FREDRICK,16,6,2014,68,49,50,30.09,10,10,0,5,,65,1,0
168,27369330017,168.9443601,0.826575072,69.31526492,SCH,LILLA FREDRICK,17,6,2014,73,62,70,29.98,9,11,0.02,6,Rain,204,1,1
169,27369330017,226.6100934,0.837574422,105.477169,SCH,LILLA FREDRICK,18,6,2014,78,61,64,29.81,10,14,T,5,Rain,275,1,0
170,27369330017,218.4940311,0.833292312,101.8717652,SCH,LILLA FREDRICK,19,6,2014,76,51,45,29.93,10,11,0,5,,317,1,0
171,27369330017,194.6117077,0.828464805,88.33603928,SCH,LILLA FREDRICK,20,6,2014,69,41,38,29.93,10,12,0,2,,319,1,0
172,27369330017,144.7177664,0.841599506,58.68149937,SCH,LILLA FREDRICK,21,6,2014,66,46,50,29.93,10,7,0,3,,318,0,0
173,27369330017,130.6245,0.856923023,46.90613439,SCH,LILLA FREDRICK,22,6,2014,65,47,56,29.98,10,8,0,3,,91,0,0
